grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,河网密,卫占比,年均降,0.14432029786311637,0.13797369669918438,0.13705822846967045
2,0.582949232464,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.14550024772371753
3,0.443695469336,卫占比,弱占比,河网密,0.13797369669918438,0.123730200733121,0.06202669300885634
4,0.44755933208,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.06727617891353999
5,0.616197103804,河网密,暴雨天,卫占比,0.1566405544488521,0.10776876951735818,0.10355152965559954
6,0.585094865976,暴雨天,卫占比,弱占比,0.10776876951735818,0.10355152965559954,0.09883137390363994
7,0.349531596111,河网密,卫占比,弱占比,0.14432029786311637,0.13797369669918438,0.123730200733121
8,0.501780693278,卫占比,弱占比,村庄分,0.13797369669918438,0.123730200733121,0.03243039238945293
9,0.418477693796,卫占比,弱占比,河网密,0.31145690564878786,0.290412829580684,0.14432029786311637
10,0.0,坡度,卫占比,弱占比,0.40086485914247855,0.31145690564878786,0.290412829580684
11,0.68204471198,年均降,卫占比,弱占比,0.11644519969459621,0.10355152965559954,0.09883137390363994
12,0.636751921216,卫占比,弱占比,河网密,0.10355152965559954,0.09883137390363994,0.05425667997284057
13,0.315686353228,河网密,卫占比,弱占比,0.14432029786311637,0.13797369669918438,0.123730200733121
14,0.534739786928,河网密,卫占比,弱占比,0.20327791150401306,0.1912175530669922,0.17279355337038596
15,0.550402407804,卫占比,弱占比,年均降,0.13797369669918438,0.123730200733121,0.0603614916272151
16,0.557105308229,年均降,卫占比,弱占比,0.15320544797764665,0.13797369669918438,0.123730200733121
17,0.501365121238,年均降,卫占比,弱占比,0.14009437494666344,0.13797369669918438,0.123730200733121
18,0.56951926759,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.17182148052985655
19,0.733663162909,卫占比,弱占比,年均降,0.31145690564878786,0.290412829580684,0.13148328471665868
20,0.471671585209,河网密,卫占比,年均降,0.19052354447591674,0.13797369669918438,0.12718454910422775
21,0.491098989386,卫占比,弱占比,河网密,0.13797369669918438,0.123730200733121,0.10184996684799816
22,0.778324814867,河网密,卫占比,弱占比,0.33324984757205767,0.1912175530669922,0.17279355337038596
23,0.260216653963,河网密,年均降,卫占比,0.14432029786311637,0.13878525115639792,0.13797369669918438
24,0.461902875792,卫占比,弱占比,河网密,0.25647366571649727,0.23974665948451257,0.14432029786311637
25,0.572944237427,河网密,卫占比,弱占比,0.19737239366594972,0.1912175530669922,0.17279355337038596
26,0.562550060677,河网密,卫占比,弱占比,0.19195085917384552,0.1912175530669922,0.17279355337038596
27,0.531859991472,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.14393386579160167
28,0.488431035343,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.06668436484211528
29,0.809967733119,河网密,暴雨天,卫占比,0.29908781926221606,0.16039269656195432,0.10355152965559954
30,0.355058569061,卫占比,弱占比,河网密,0.1912175530669922,0.17279355337038596,0.14432029786311637
31,0.645471398003,卫占比,弱占比,年均降,0.31145690564878786,0.290412829580684,0.11316318243544853
32,0.58904761273,河网密,年均降,卫占比,0.14432029786311637,0.140073464128039,0.10355152965559954
33,0.550873912464,卫占比,弱占比,年均降,0.1912175530669922,0.17279355337038596,0.14549157706130184
34,0.530402297323,河网密,卫占比,弱占比,0.14432029786311637,0.10355152965559954,0.09883137390363994
35,0.467526623533,河网密,暴雨天,卫占比,0.14432029786311637,0.10776876951735818,0.10355152965559954
