grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,河网密,dem,土壤渗,0.10180788741310622,0.06531494568904186,0.03575269857404819
2,0.582949232464,dem,河网密,年均降,0.031092986017479028,0.02267832940349988,0.021629937447891472
3,0.443695469336,河网密,坡度,村庄分,0.05659955648328319,0.03469080320462211,0.011048377484927902
4,0.44755933208,dem,河网密,年均降,0.05192376302381589,0.016746102048720367,0.012779506589279893
5,0.616197103804,河网密,dem,委占比,0.09014557502178766,0.024016570261886954,0.013016455180021586
6,0.585094865976,dem,河网密,暴雨天,0.03114638511188881,0.018268064883007352,0.011965187237279629
7,0.349531596111,河网密,dem,暴雨天,0.0962438898404146,0.04136821554353026,0.008257491241539183
8,0.501780693278,dem,河网密,年均降,0.04131775781481071,0.019231366863085023,0.011682812073088508
9,0.418477693796,河网密,dem,暴雨天,0.10203045452598068,0.03398656094473912,0.01088311733732751
10,0.0,坡度,河网密,年均降,0.35738098878101815,0.09130936223099362,0.02497045696833412
11,0.68204471198,河网密,dem,土壤渗,0.05157303372675546,0.03894615028040229,0.021910811863790014
12,0.636751921216,河网密,dem,委占比,0.06025176670268725,0.027600166247367778,0.010987342513472746
13,0.315686353228,河网密,dem,暴雨天,0.09799116691081834,0.0640080634852474,0.006986505093817833
14,0.534739786928,河网密,委占比,行洪能,0.09726917818149042,0.016048285574412208,0.015123945482833448
15,0.550402407804,dem,村庄分,土壤渗,0.03658422190652561,0.015222724794457264,0.014488130746987663
16,0.557105308229,河网密,dem,暴雨天,0.08414204201378328,0.05043289935532712,0.020213321549497565
17,0.501365121238,河网密,dem,暴雨天,0.056840108776881615,0.04862527272537181,0.014843324877255903
18,0.56951926759,年均降,土壤渗,dem,0.033108215368458205,0.029236266777449883,0.014793047222721825
19,0.733663162909,河网密,dem,土壤渗,0.07396046017079257,0.05400700025791776,0.02262068955676612
20,0.471671585209,河网密,dem,委占比,0.08529652244153978,0.06133022076076554,0.015292077606386515
21,0.491098989386,河网密,dem,委占比,0.07750584252361199,0.056775573421384146,0.014691463024915148
22,0.778324814867,河网密,dem,年均降,0.2201792985041509,0.03415310101419818,0.024527161911662463
23,0.260216653963,河网密,dem,年均降,0.10640946388481302,0.07584346115473531,0.03464048218185267
24,0.461902875792,河网密,dem,年均降,0.09617168483872773,0.04014602854681769,0.009478079355837799
25,0.572944237427,河网密,dem,委占比,0.10108914277722778,0.03587704287473972,0.012880822918560993
26,0.562550060677,河网密,dem,土壤渗,0.08424996937868436,0.034386111559377056,0.021105943560731737
27,0.531859991472,河网密,dem,委占比,0.07295342530480264,0.047038484812544634,0.013739801737489407
28,0.488431035343,河网密,年均降,坡度,0.016275270618145182,0.006664645752343427,0.005667462494522668
29,0.809967733119,河网密,dem,委占比,0.22111854226918395,0.034765559953247746,0.014140896979079474
30,0.355058569061,河网密,坡度,年均降,0.09880023391950825,0.03344753724309848,0.026862734585551072
31,0.645471398003,dem,土壤渗,年均降,0.06190009307405644,0.02577807089860979,0.022630834926209265
32,0.58904761273,河网密,dem,年均降,0.078563591772219,0.05638986758043441,0.04066285262840424
33,0.550873912464,土壤渗,年均降,dem,0.02534603457441689,0.02299391309965328,0.014280613116071591
34,0.530402297323,河网密,dem,土壤渗,0.08473848959073317,0.038062758698265864,0.020750023481641296
35,0.467526623533,河网密,dem,暴雨天,0.09176743922353932,0.03859291047911566,0.01360445587374905
36,0.51828759022,河网密,dem,年均降,0.08681328606735832,0.0460335503670475,0.012222409808264927
37,0.550512528617,河网密,dem,年均降,0.08150758033978858,0.051253804259030235,0.026926496028864055
38,0.68725753865,河网密,dem,土壤渗,0.08833677492361992,0.04380123623356839,0.018781096501274897
39,0.476091964925,河网密,dem,委占比,0.06931893006481053,0.046023491380850906,0.014991765815683587
40,0.692001293513,河网密,dem,土壤渗,0.08557832300982471,0.04635311633582213,0.0195502555883677
41,0.623214872415,河网密,dem,暴雨天,0.1036026776126323,0.028597818729283114,0.01340044950822853
42,0.578593664918,河网密,dem,年均降,0.07742030225438712,0.05689417136443671,0.03967623416075343
43,0.530026221591,河网密,dem,暴雨天,0.0671783269430106,0.050856946218025445,0.017269621331258457
44,0.646843011222,河网密,dem,委占比,0.08839668516197764,0.0174648169671665,0.012591910825769215
45,0.459270538377,河网密,dem,土壤渗,0.07778372446064175,0.03523264997205665,0.0324369387446049
46,0.532424209039,dem,暴雨天,河网密,0.03565781163510377,0.029915695417589316,0.010108621185133568
47,0.862915646931,河网密,dem,年均降,0.24368368704318616,0.03833229156195919,0.024062569306048505
48,0.778971739814,dem,年均降,河网密,0.06289083197521303,0.04920116547509747,0.028528287000054386
49,0.354953058741,河网密,dem,年均降,0.08919504656641375,0.06221892899464519,0.026779886069039898
50,0.515574488758,河网密,dem,坡度,0.08409380809589481,0.04405601286125527,0.009557890817254205
51,0.484431500277,河网密,dem,坡度,0.09106032046144437,0.04519479542587475,0.009701803330008163
52,0.63557320981,河网密,dem,行洪能,0.24406264198971755,0.0568916380872887,0.021250430057206508
53,0.438781930642,河网密,dem,土壤渗,0.09260257304931106,0.03537703064800586,0.01158471857785762
54,0.428906465119,河网密,dem,暴雨天,0.09951464485590367,0.035832943145291576,0.011251856676709844
55,0.689115949899,河网密,委占比,行洪能,0.19468705655396315,0.014726160163249543,0.011372013078637949
56,0.496244800485,河网密,dem,暴雨天,0.08173354317591706,0.03930025602193081,0.01679439670609615
57,0.618184408373,dem,暴雨天,河网密,0.03329143208148702,0.026160786200868983,0.021665228541357537
58,0.64709054143,河网密,dem,委占比,0.08761207256209907,0.010353061606705757,0.009766268073648155
59,0.424784541406,河网密,dem,年均降,0.0853799043948469,0.07022781487923496,0.026112836048607386
