grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,河网密,dem,年均降,0.084078744,0.07221123,0.050209947
2,0.582949232464,年均降,委占比,dem,0.047110666,0.02782419,0.025128106
3,0.443695469336,河网密,村庄分,坡度,0.068497054,0.047314875,0.027000785
4,0.44755933208,dem,年均降,暴雨天,0.05737279,0.029186549,0.013017605
5,0.616197103804,河网密,dem,年均降,0.09775986,0.030723458,0.022770667
6,0.585094865976,dem,暴雨天,河网密,0.029001547,0.022963038,0.016849145
7,0.349531596111,河网密,dem,暴雨天,0.09518903,0.04794459,0.02716067
8,0.501780693278,dem,村庄分,年均降,0.039790854,0.028984541,0.024023607
9,0.418477693796,河网密,dem,暴雨天,0.101450846,0.029113198,0.025789786
10,0.0,坡度,河网密,年均降,0.4283176,0.10822222,0.043825656
11,0.68204471198,河网密,dem,年均降,0.06043815,0.05705282,0.036457498
12,0.636751921216,河网密,dem,委占比,0.06927575,0.024671694,0.023393605
13,0.315686353228,河网密,dem,暴雨天,0.091462865,0.0648568,0.013429066
14,0.534739786928,河网密,暴雨天,土壤渗,0.09615001,0.026871553,0.016982462
15,0.550402407804,村庄分,dem,土壤渗,0.030472977,0.028092025,0.021902023
16,0.557105308229,河网密,dem,暴雨天,0.081638984,0.045556765,0.04366951
17,0.501365121238,河网密,dem,暴雨天,0.052490283,0.043617923,0.033008613
18,0.56951926759,年均降,土壤渗,暴雨天,0.058108483,0.03256143,0.013923374
19,0.733663162909,河网密,年均降,dem,0.08734877,0.047903012,0.04784506
20,0.471671585209,河网密,dem,年均降,0.11118982,0.06742313,0.032932412
21,0.491098989386,河网密,dem,委占比,0.09089714,0.049055126,0.017690057
22,0.778324814867,河网密,年均降,dem,0.21864142,0.0375206,0.036338802
23,0.260216653963,河网密,dem,年均降,0.093689926,0.08139598,0.052391343
24,0.461902875792,河网密,dem,土壤渗,0.099933006,0.03911547,0.011822625
25,0.572944237427,河网密,dem,年均降,0.12472304,0.034354668,0.021364722
26,0.562550060677,河网密,dem,土壤渗,0.0963948,0.037561186,0.020977475
27,0.531859991472,河网密,dem,年均降,0.08105536,0.055077165,0.049769428
28,0.488431035343,河网密,年均降,委占比,0.018750349,0.0120492205,0.010130608
29,0.809967733119,河网密,dem,暴雨天,0.22075547,0.038168058,0.034674563
30,0.355058569061,河网密,坡度,年均降,0.09315772,0.056929484,0.03596441
31,0.645471398003,dem,年均降,土壤渗,0.05234902,0.04325149,0.03610698
32,0.58904761273,河网密,年均降,dem,0.08881429,0.06032687,0.04498405
33,0.550873912464,年均降,土壤渗,暴雨天,0.04120571,0.029186161,0.01632006
34,0.530402297323,河网密,土壤渗,年均降,0.08179146,0.028712498,0.021452986
35,0.467526623533,河网密,dem,暴雨天,0.09316321,0.035013974,0.027192065
36,0.51828759022,河网密,dem,村庄分,0.08873013,0.031889245,0.024729421
37,0.550512528617,河网密,年均降,dem,0.08755657,0.04245343,0.04058023
38,0.68725753865,河网密,dem,土壤渗,0.08524711,0.044355,0.027651535
39,0.476091964925,河网密,dem,暴雨天,0.07797945,0.035656102,0.027368797
40,0.692001293513,河网密,dem,土壤渗,0.08980227,0.047719814,0.028234828
41,0.623214872415,河网密,暴雨天,dem,0.10846902,0.032443605,0.031110378
42,0.578593664918,河网密,年均降,dem,0.08241963,0.058243055,0.04964117
43,0.530026221591,河网密,暴雨天,dem,0.0672891,0.042279866,0.038918134
44,0.646843011222,河网密,dem,土壤渗,0.083374634,0.022407042,0.018595932
45,0.459270538377,dem,河网密,土壤渗,0.05228348,0.04447835,0.032133855
46,0.532424209039,暴雨天,dem,委占比,0.060816072,0.034727056,0.010170196
47,0.862915646931,河网密,年均降,dem,0.24825968,0.04741453,0.03415227
48,0.778971739814,年均降,dem,土壤渗,0.099056944,0.052879382,0.035754558
49,0.354953058741,河网密,dem,年均降,0.08411581,0.063292615,0.037545282
50,0.515574488758,河网密,dem,年均降,0.083546065,0.031842433,0.020417662
51,0.484431500277,河网密,dem,年均降,0.095638335,0.033841316,0.013631074
52,0.63557320981,河网密,dem,年均降,0.21151866,0.05760689,0.031758048
53,0.438781930642,河网密,dem,暴雨天,0.093274765,0.03277323,0.01776155
54,0.428906465119,河网密,dem,暴雨天,0.0973031,0.03165394,0.027871063
55,0.689115949899,河网密,暴雨天,委占比,0.19391158,0.016587395,0.015984416
56,0.496244800485,河网密,dem,暴雨天,0.08466362,0.038896512,0.029528594
57,0.618184408373,暴雨天,dem,年均降,0.04999031,0.03475367,0.013183352
58,0.64709054143,河网密,暴雨天,委占比,0.111692294,0.013996169,0.013227476
59,0.424784541406,河网密,dem,年均降,0.10971038,0.0655955,0.06360245
60,0.379334689418,河网密,dem,暴雨天,0.088071704,0.054297343,0.020937895
61,0.598504484685,河网密,dem,委占比,0.08602283,0.019045454,0.015335936
62,0.482608908218,暴雨天,年均降,dem,0.026438111,0.02490182,0.020313999
63,0.698082331291,河网密,dem,暴雨天,0.15930085,0.035729825,0.021995982
64,0.455663075132,河网密,年均降,土壤渗,0.035003036,0.031666566,0.02023113
65,0.450094977686,河网密,年均降,土壤渗,0.09574304,0.024705866,0.022156587
66,0.485719407372,河网密,dem,年均降,0.08947049,0.032474007,0.01856849
67,0.606087869356,河网密,土壤渗,年均降,0.17654663,0.04828336,0.024600664
68,0.619257539962,河网密,土壤渗,dem,0.08763913,0.030303871,0.024173418
69,0.476834708009,河网密,委占比,年均降,0.058978315,0.034205243,0.023464318
70,0.592217802125,年均降,土壤渗,dem,0.048353318,0.03398962,0.026679916
71,0.513712891124,年均降,土壤渗,暴雨天,0.02532354,0.024254449,0.018641531
72,0.445221159823,河网密,dem,年均降,0.10055158,0.0361372,0.014595177
73,0.209562281694,河网密,dem,年均降,0.09885503,0.08778191,0.07026567
74,0.068981890228,河网密,土壤渗,dem,0.12720169,0.10278874,0.092755444
75,0.216100712369,河网密,dem,年均降,0.09914855,0.089138925,0.07389206
76,0.528311225008,dem,河网密,土壤渗,0.048390202,0.04361312,0.025688367
77,0.302621008197,河网密,dem,耕地占,0.08586657,0.06052192,0.028666843
78,0.503920546002,委占比,河网密,土壤渗,0.0392251,0.036561117,0.018868133
79,0.522100317823,河网密,dem,委占比,0.08527362,0.038856223,0.020952972
80,0.799212730128,河网密,dem,年均降,0.16454822,0.05300962,0.052369993
81,0.219936764577,河网密,dem,年均降,0.09873335,0.08030824,0.07183924
82,0.461548202191,河网密,dem,年均降,0.0890897,0.057257134,0.05331235
83,0.299890443313,河网密,dem,年均降,0.09437779,0.08305512,0.057145357
84,0.525794578485,河网密,dem,暴雨天,0.08820475,0.036478773,0.03368638
85,0.0,坡度,土壤渗,dem,0.19373655,0.10639516,0.07349428
86,0.756157746492,河网密,dem,暴雨天,0.16429083,0.046880182,0.033315778
87,0.541688005294,河网密,dem,暴雨天,0.08369304,0.04754129,0.04050477
88,0.281340330839,坡度,河网密,土壤渗,0.12561181,0.09340837,0.07644456
89,0.495677254417,河网密,土壤渗,坡度,0.06454014,0.044966016,0.03255073
90,0.511522998002,河网密,dem,暴雨天,0.0915063,0.03644186,0.03254362
91,0.0,坡度,河网密,行洪能,0.24645935,0.14874391,0.044527255
92,0.19413515987,土壤渗,河网密,dem,0.11556656,0.099080704,0.078315325
93,0.452950903773,河网密,dem,委占比,0.09844201,0.032090437,0.014496669
94,0.356688314233,河网密,年均降,坡度,0.091897324,0.03419278,0.033136256
95,0.611374262936,河网密,委占比,dem,0.09541985,0.03201332,0.027540848
96,0.462727840425,河网密,dem,土壤渗,0.0874566,0.03645864,0.0114126885
97,0.561523377895,年均降,土壤渗,河网密,0.0776606,0.031255458,0.023783114
98,0.786496514624,河网密,dem,年均降,0.17457987,0.045643725,0.042515896
99,0.487616123493,河网密,dem,暴雨天,0.093440555,0.032684594,0.0100581525
100,0.638067517768,河网密,dem,委占比,0.08587301,0.02713615,0.017589694
