grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,河网密,土壤渗,年均降,0.07811254982408455,0.07598942286256155,0.026362241352739478
3,0.443695469336,村庄分,河网密,年均降,0.04626153024406458,0.03423117862289894,0.020890910396878938
7,0.349531596111,河网密,年均降,土壤渗,0.08042145921365013,0.03263019465551866,0.014144263424951096
8,0.501780693278,村庄分,河网密,年均降,0.046118728721751184,0.02719872381290859,0.023626178546746642
13,0.315686353228,河网密,年均降,土壤渗,0.0731294120063569,0.01744187557196226,0.01434992750534242
15,0.550402407804,村庄分,土壤渗,暴雨天,0.06267821797448447,0.026518752604787352,0.020553148984713842
16,0.557105308229,河网密,暴雨天,年均降,0.10521553029497153,0.05494743744888243,0.013823970138470816
17,0.501365121238,河网密,暴雨天,村庄分,0.0680052825654738,0.05117042353065679,0.01887277048049242
20,0.471671585209,河网密,暴雨天,年均降,0.14214513126637102,0.02630439950050166,0.01926156205280635
21,0.491098989386,河网密,村庄分,暴雨天,0.11035947078742031,0.013238119387243752,0.00902444965541761
23,0.260216653963,河网密,年均降,暴雨天,0.08345694128396389,0.029867628823751956,0.02270728880094955
41,0.623214872415,河网密,暴雨天,村庄分,0.12234034416759128,0.039233415250532776,0.033066504557734445
43,0.530026221591,河网密,暴雨天,年均降,0.07921454968988319,0.058715237374119496,0.017647025072796082
45,0.459270538377,土壤渗,河网密,年均降,0.08516638429980897,0.07038069963833235,0.0369620033110658
52,0.63557320981,河网密,行洪能,年均降,0.24682535756800045,0.02304877547808534,0.015020703715048229
58,0.64709054143,河网密,dem,暴雨天,0.17576326324787722,0.025373404802639693,0.02352760232047693
59,0.424784541406,河网密,年均降,暴雨天,0.12297420909566503,0.03643179834577598,0.02659905331540119
60,0.379334689418,河网密,年均降,村庄分,0.07806058220687294,0.035670207004641,0.021537291774551378
68,0.619257539962,河网密,土壤渗,村庄分,0.10490748914739184,0.051005896463587864,0.03626896323578312
73,0.209562281694,河网密,年均降,暴雨天,0.08945198295271839,0.05264082137501444,0.023653958677474163
74,0.068981890228,土壤渗,河网密,暴雨天,0.14296464388879193,0.09667074818281168,0.031046304186705273
75,0.216100712369,河网密,年均降,暴雨天,0.08830973168895408,0.06243590069852606,0.02084610075170532
76,0.528311225008,土壤渗,年均降,行洪能,0.08471420636451613,0.0353600182366302,0.01233524334185765
77,0.302621008197,河网密,年均降,耕地占,0.08226530520477884,0.03127167093823287,0.019161535700809456
79,0.522100317823,河网密,暴雨天,村庄分,0.1109510780337194,0.026798417964028425,0.021486551954681694
81,0.219936764577,河网密,年均降,暴雨天,0.09125908314611147,0.0577903039167641,0.024046720440729204
82,0.461548202191,河网密,年均降,村庄分,0.11789490055962946,0.03589730491536696,0.016147081515540344
83,0.299890443313,河网密,土壤渗,年均降,0.0832804523857124,0.04576186319693214,0.026014398162587396
85,0.0,坡度,河网密,dem,0.3306573535685328,0.05119413650410562,0.04723909571112864
87,0.541688005294,河网密,暴雨天,年均降,0.11350671876295007,0.057851499346188356,0.01670003887775721
88,0.281340330839,坡度,暴雨天,土壤渗,0.13570462320080537,0.08388448952377447,0.06263170900626626
89,0.495677254417,土壤渗,河网密,村庄分,0.06611975039006115,0.03649052222645278,0.034992032416343355
92,0.19413515987,土壤渗,河网密,暴雨天,0.14766450900077013,0.06251047352282915,0.016599914129857396
94,0.356688314233,河网密,暴雨天,土壤渗,0.08223541047437521,0.02667613315265857,0.01561705451092525
101,0.414320892293,河网密,暴雨天,土壤渗,0.074618376257445,0.07460800509588068,0.019356305100494697
107,0.537235437838,河网密,暴雨天,村庄分,0.10603278177263523,0.058015803307273094,0.018773537025567194
108,0.362805396072,河网密,土壤渗,年均降,0.023534332887995696,0.011631869065535112,0.011476684587704856
111,0.557939987291,河网密,年均降,暴雨天,0.16583005429355074,0.026485006298740874,0.015323472890571887
114,0.477661074686,村庄分,土壤渗,河网密,0.0537567028829507,0.03105163573832266,0.02738758322556921
117,0.557755430539,河网密,年均降,暴雨天,0.15001035840662227,0.04356857275043082,0.014186255125319487
124,0.281462135886,河网密,暴雨天,年均降,0.07957991619342078,0.019950479382432995,0.01850060712564614
126,0.680099615997,河网密,年均降,土壤渗,0.198535451251629,0.03192232538257296,0.015532037615383165
128,0.482922200329,河网密,年均降,暴雨天,0.15140933873274445,0.03358679836013612,0.022146871890249477
130,0.232384974553,土壤渗,河网密,暴雨天,0.1391470430381671,0.08243761402216195,0.01651585626035721
134,0.451117259658,土壤渗,河网密,年均降,0.08174593768309578,0.05290032922562282,0.0389636782807385
138,0.473506748676,暴雨天,土壤渗,行洪能,0.049058514238728555,0.020652405551333883,0.017247283872902294
144,0.452230935501,河网密,村庄分,暴雨天,0.05062276684856166,0.033394237847298947,0.030701560288662322
146,0.272066901297,河网密,年均降,暴雨天,0.08247855749194649,0.033803595096759474,0.016399452703277813
147,0.58656098759,河网密,年均降,dem,0.15315576804488087,0.03674201907745257,0.017593442347746988
157,0.377707851081,河网密,暴雨天,年均降,0.07876819391949817,0.07349599500748956,0.02391012072233805
159,0.594910970404,河网密,暴雨天,年均降,0.20747232391184792,0.013969469822354282,0.011519763366881798
160,0.372614270646,河网密,暴雨天,土壤渗,0.06811437238054131,0.05364535449406145,0.0194754225407926
161,0.432535231606,河网密,土壤渗,年均降,0.060703365259816795,0.04683569933895004,0.030379378280461482
167,0.393432189795,河网密,暴雨天,村庄分,0.028713478375802615,0.02152012705977802,0.016424996214021482
169,0.504588067532,河网密,暴雨天,村庄分,0.10471527192991424,0.03677483091434501,0.01836135280911576
179,0.472736193375,河网密,暴雨天,村庄分,0.09090006911750144,0.0356734028790233,0.029506041135403508
181,0.414532551034,河网密,年均降,土壤渗,0.054262823065869784,0.03599163953150901,0.018921077654584038
188,0.456618950387,土壤渗,河网密,年均降,0.0869721883639085,0.07002665346002152,0.038481202629879106
191,0.322139788019,河网密,年均降,暴雨天,0.08047013621624385,0.02704840927587523,0.016947349337804056
200,0.449161965492,河网密,暴雨天,年均降,0.11532955236926117,0.03503980783454612,0.021078661942006905
210,0.288077597283,河网密,暴雨天,土壤渗,0.07846712411055656,0.020138424405903778,0.013648539676638446
222,0.425414839123,河网密,年均降,耕地占,0.1386782426938864,0.037902631697224465,0.030009768511617328
