grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,河网密,土壤渗,年均降,0.08001413,0.076898225,0.034947403
3,0.443695469336,河网密,村庄分,年均降,0.05773563,0.043889947,0.03814358
7,0.349531596111,河网密,年均降,暴雨天,0.08523664,0.044772357,0.026202828
8,0.501780693278,年均降,村庄分,河网密,0.0645863,0.034073405,0.029199341
13,0.315686353228,河网密,年均降,村庄分,0.070353046,0.022701139,0.0144221075
15,0.550402407804,村庄分,暴雨天,土壤渗,0.05188054,0.04581464,0.035637736
16,0.557105308229,河网密,暴雨天,年均降,0.10556356,0.06697528,0.02620567
17,0.501365121238,河网密,暴雨天,村庄分,0.06488432,0.055014357,0.021445287
20,0.471671585209,河网密,暴雨天,年均降,0.1725173,0.038610958,0.034158584
21,0.491098989386,河网密,村庄分,年均降,0.1111716,0.0136051765,0.008595344
23,0.260216653963,河网密,年均降,暴雨天,0.08027737,0.039603207,0.030632794
41,0.623214872415,河网密,暴雨天,村庄分,0.13089648,0.04625239,0.03297199
43,0.530026221591,河网密,暴雨天,年均降,0.080313504,0.06494104,0.024774851
45,0.459270538377,土壤渗,河网密,年均降,0.089894295,0.07727241,0.04952445
52,0.63557320981,河网密,年均降,暴雨天,0.23807974,0.03022987,0.025266146
58,0.64709054143,河网密,暴雨天,dem,0.19515401,0.03400284,0.020371709
59,0.424784541406,河网密,年均降,暴雨天,0.14452381,0.04678135,0.030054267
60,0.379334689418,河网密,年均降,暴雨天,0.07849267,0.06312724,0.023915948
68,0.619257539962,河网密,土壤渗,村庄分,0.09639858,0.0571862,0.033725664
73,0.209562281694,河网密,年均降,耕地占,0.08597977,0.05750946,0.031351503
74,0.068981890228,土壤渗,河网密,年均降,0.1306294,0.10026142,0.04249659
75,0.216100712369,河网密,年均降,暴雨天,0.08595776,0.064182766,0.033522952
76,0.528311225008,土壤渗,年均降,耕地占,0.090977915,0.04147466,0.017107526
77,0.302621008197,河网密,年均降,耕地占,0.08436004,0.044197746,0.03131443
79,0.522100317823,河网密,暴雨天,行洪能,0.11872303,0.04053223,0.034652784
81,0.219936764577,河网密,年均降,暴雨天,0.08776402,0.061698027,0.032085296
82,0.461548202191,河网密,年均降,暴雨天,0.11810305,0.045944404,0.01967681
83,0.299890443313,河网密,土壤渗,年均降,0.081968635,0.05262865,0.037092034
85,0.0,坡度,dem,河网密,0.31602114,0.058002025,0.05247867
87,0.541688005294,河网密,暴雨天,年均降,0.11677288,0.07054969,0.028155215
88,0.281340330839,坡度,暴雨天,土壤渗,0.12446021,0.11117643,0.046969835
89,0.495677254417,土壤渗,河网密,村庄分,0.065371424,0.04963052,0.02455276
92,0.19413515987,土壤渗,河网密,村庄分,0.137227,0.06768213,0.0075820945
94,0.356688314233,河网密,暴雨天,年均降,0.08019507,0.038426746,0.010167099
101,0.414320892293,河网密,暴雨天,年均降,0.079931825,0.07731667,0.024436621
107,0.537235437838,河网密,暴雨天,村庄分,0.10008621,0.06963842,0.02024987
108,0.362805396072,年均降,河网密,行洪能,0.02373413,0.017757175,0.011503748
111,0.557939987291,河网密,暴雨天,年均降,0.1891609,0.03835286,0.036292635
114,0.477661074686,村庄分,河网密,土壤渗,0.052247435,0.036001835,0.03124006
117,0.557755430539,河网密,年均降,暴雨天,0.14941631,0.07066432,0.028716872
124,0.281462135886,河网密,暴雨天,年均降,0.076486655,0.028655076,0.0252311
126,0.680099615997,河网密,年均降,行洪能,0.22372968,0.051873703,0.020057099
128,0.482922200329,河网密,年均降,暴雨天,0.17088856,0.044445544,0.02776488
130,0.232384974553,土壤渗,河网密,村庄分,0.12613486,0.09559551,0.016354626
134,0.451117259658,土壤渗,河网密,年均降,0.09391632,0.07143455,0.041770052
138,0.473506748676,暴雨天,年均降,河网密,0.07506266,0.01615118,0.007810838
144,0.452230935501,河网密,暴雨天,村庄分,0.05635766,0.03339959,0.029190507
146,0.272066901297,河网密,年均降,暴雨天,0.08012745,0.037443,0.025213782
147,0.58656098759,河网密,年均降,暴雨天,0.14303288,0.07005088,0.030419657
157,0.377707851081,河网密,暴雨天,年均降,0.078939,0.07800792,0.033043653
159,0.594910970404,河网密,年均降,暴雨天,0.22861215,0.024676234,0.024420975
160,0.372614270646,河网密,暴雨天,年均降,0.07643477,0.06810103,0.020932944
161,0.432535231606,河网密,土壤渗,年均降,0.07693822,0.0594785,0.030067649
167,0.393432189795,河网密,暴雨天,村庄分,0.03856489,0.035925064,0.0139811495
169,0.504588067532,河网密,暴雨天,村庄分,0.10579606,0.036885124,0.01639837
179,0.472736193375,河网密,暴雨天,村庄分,0.10288939,0.042965844,0.036875483
181,0.414532551034,河网密,年均降,暴雨天,0.072338276,0.06476364,0.025813174
188,0.456618950387,土壤渗,河网密,年均降,0.09080082,0.0751902,0.048544303
191,0.322139788019,河网密,年均降,暴雨天,0.07950196,0.03587436,0.03105174
200,0.449161965492,河网密,暴雨天,行洪能,0.13732424,0.03988227,0.028200042
210,0.288077597283,河网密,暴雨天,年均降,0.07748506,0.02678775,0.018132597
222,0.425414839123,河网密,年均降,耕地占,0.1656719,0.056155287,0.045765597
223,0.310113478791,河网密,年均降,暴雨天,0.07930515,0.037002712,0.03556498
224,0.401933012714,暴雨天,河网密,土壤渗,0.074136704,0.073882245,0.023130376
227,0.0,行洪能,河网密,年均降,0.17557251,0.12127471,0.04309004
228,0.340776597173,土壤渗,河网密,公安,0.07869979,0.07542956,0.02366016
234,0.655763881266,河网密,暴雨天,年均降,0.2748731,0.028398024,0.01888141
235,0.100387497936,土壤渗,河网密,暴雨天,0.14094244,0.09313628,0.035480272
246,0.293728856016,河网密,暴雨天,年均降,0.07764205,0.019655863,0.017809624
247,0.253579434531,河网密,土壤渗,年均降,0.08221177,0.051039115,0.049931485
248,0.395344169334,暴雨天,河网密,年均降,0.06531755,0.035626594,0.022292947
249,0.373957391613,河网密,年均降,土壤渗,0.078120925,0.036648396,0.0141336145
266,0.603128599234,河网密,村庄分,暴雨天,0.11612569,0.052394126,0.044284925
267,0.215342865195,河网密,年均降,耕地占,0.08201342,0.042969335,0.02540419
270,0.27313236338,土壤渗,河网密,村庄分,0.13062459,0.03718317,0.034303833
272,0.402912527323,河网密,年均降,暴雨天,0.13432097,0.030130373,0.028600268
275,0.361854130572,河网密,年均降,暴雨天,0.079976074,0.06454518,0.026093714
276,0.262851140151,河网密,年均降,暴雨天,0.081790514,0.034570143,0.024681311
278,0.594052299488,河网密,暴雨天,年均降,0.11841884,0.063371874,0.014875051
297,0.31558543887,河网密,暴雨天,土壤渗,0.066488154,0.01846348,0.015591341
301,0.431416272871,河网密,年均降,村庄分,0.07560262,0.07309807,0.034315776
302,0.365301179984,河网密,年均降,暴雨天,0.050591633,0.04050883,0.024717068
303,0.45339639374,河网密,年均降,村庄分,0.07681674,0.061003942,0.03492541
307,0.279175727082,河网密,暴雨天,年均降,0.07802403,0.026154244,0.0225131
309,0.52197971743,河网密,暴雨天,行洪能,0.17417668,0.035870105,0.01916901
310,0.466706277418,年均降,河网密,村庄分,0.067865014,0.048969224,0.027763823
323,0.453011521336,河网密,年均降,暴雨天,0.06786196,0.027708424,0.01978875
324,0.464789489491,暴雨天,年均降,村庄分,0.06813031,0.052996244,0.027743852
325,0.459582519802,河网密,年均降,暴雨天,0.049652994,0.022216821,0.0140475705
329,0.154623767684,土壤渗,河网密,年均降,0.13700819,0.08661481,0.023244277
335,0.371646131612,河网密,年均降,土壤渗,0.07784601,0.04138567,0.013822262
337,0.508324166221,河网密,年均降,暴雨天,0.09504122,0.061847292,0.02277373
338,0.585342654019,河网密,年均降,暴雨天,0.13546793,0.064180255,0.02359362
