grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
1,0.363769165987,年均降,卫占比,河网密,0.1277983036271937,0.1255658207585574,0.11746097712599443
2,0.582949232464,卫占比,弱占比,年均降,0.17109833619681242,0.15016435912024023,0.12532148374326046
3,0.443695469336,卫占比,弱占比,河网密,0.1255658207585574,0.10952569406298422,0.04599397835835943
4,0.44755933208,卫占比,弱占比,年均降,0.17109833619681242,0.15016435912024023,0.05524728200198124
5,0.616197103804,河网密,暴雨天,卫占比,0.14390524810350355,0.10008069480159287,0.08097915640760399
6,0.585094865976,暴雨天,卫占比,年均降,0.10008069480159287,0.08097915640760399,0.07964064652282338
7,0.349531596111,卫占比,河网密,弱占比,0.1255658207585574,0.11746097712599443,0.10952569406298422
8,0.501780693278,卫占比,弱占比,土壤渗,0.1255658207585574,0.10952569406298422,0.034996878357176874
9,0.418477693796,卫占比,弱占比,河网密,0.2587734671110198,0.23350467361589974,0.11746097712599443
10,0.0,坡度,卫占比,弱占比,0.2875349996778711,0.2587734671110198,0.23350467361589974
11,0.68204471198,年均降,卫占比,弱占比,0.09929357023577103,0.08097915640760399,0.0748197450501429
12,0.636751921216,卫占比,弱占比,河网密,0.08097915640760399,0.0748197450501429,0.05499107009463924
13,0.315686353228,卫占比,河网密,弱占比,0.1255658207585574,0.11746097712599443,0.10952569406298422
14,0.534739786928,河网密,卫占比,弱占比,0.1844069607832392,0.17109833619681242,0.15016435912024023
15,0.550402407804,卫占比,弱占比,年均降,0.1255658207585574,0.10952569406298422,0.059092306967291466
16,0.557105308229,年均降,卫占比,弱占比,0.14226320598491185,0.1255658207585574,0.10952569406298422
17,0.501365121238,年均降,卫占比,弱占比,0.13051812559479248,0.1255658207585574,0.10952569406298422
18,0.56951926759,卫占比,弱占比,年均降,0.17109833619681242,0.15016435912024023,0.1489004077981108
19,0.733663162909,卫占比,弱占比,年均降,0.2587734671110198,0.23350467361589974,0.112764894594974
20,0.471671585209,河网密,卫占比,年均降,0.17333056749249448,0.1255658207585574,0.11895332521701008
21,0.491098989386,卫占比,弱占比,河网密,0.1255658207585574,0.10952569406298422,0.09632294977688544
22,0.778324814867,河网密,卫占比,弱占比,0.29727969507713903,0.17109833619681242,0.15016435912024023
23,0.260216653963,年均降,卫占比,河网密,0.12934539441398438,0.1255658207585574,0.11746097712599443
24,0.461902875792,卫占比,弱占比,河网密,0.21175348411489747,0.19153841151606113,0.11746097712599443
25,0.572944237427,河网密,卫占比,弱占比,0.1792783771368847,0.17109833619681242,0.15016435912024023
26,0.562550060677,河网密,卫占比,弱占比,0.17457010363796474,0.17109833619681242,0.15016435912024023
