grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
5,0.616197103804,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
6,0.585094865976,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
11,0.68204471198,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
12,0.636751921216,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
29,0.809967733119,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
32,0.58904761273,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
34,0.530402297323,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
35,0.467526623533,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
37,0.550512528617,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
42,0.578593664918,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
44,0.646843011222,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
47,0.862915646931,GDP1占比,卫占比,委占比,131043055.47881913,106110419.1181436,12657785.977630416
50,0.515574488758,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
56,0.496244800485,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
57,0.618184408373,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
61,0.598504484685,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
63,0.698082331291,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
65,0.450094977686,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
66,0.485719407372,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
72,0.445221159823,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
80,0.799212730128,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
84,0.525794578485,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
86,0.756157746492,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
90,0.511522998002,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
96,0.462727840425,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
98,0.786496514624,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
99,0.487616123493,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
100,0.638067517768,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
103,0.494965780126,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
104,0.511660485228,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
109,0.442393604882,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
112,0.520505085218,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
116,0.516173452139,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
120,0.805439844604,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
121,0.564607201036,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
122,0.385929507165,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
125,0.582312600179,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
131,0.0,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
135,0.90268972787,GDP1占比,卫占比,弱占比,187020034.29702386,152296912.56737468,17617702.672348704
136,0.796548345857,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
137,0.586487674023,委占比,卫占比,GDP1占比,2279975.439855912,1658065.5935520153,430104.8995289532
