grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
5,0.616197103804,河网密,年均降,村庄分,0.10639489,0.031886302,0.01994854
6,0.585094865976,河网密,年均降,暴雨天,0.039674208,0.034281835,0.019030388
11,0.68204471198,河网密,年均降,土壤渗,0.043691628,0.04133518,0.03541556
12,0.636751921216,河网密,村庄分,年均降,0.06282676,0.027900875,0.01344565
29,0.809967733119,河网密,暴雨天,年均降,0.22355577,0.037866633,0.017458726
32,0.58904761273,河网密,年均降,土壤渗,0.0798874,0.056432467,0.03430136
34,0.530402297323,河网密,暴雨天,土壤渗,0.077788346,0.02677275,0.025967574
35,0.467526623533,河网密,年均降,暴雨天,0.088005535,0.02571245,0.018136645
37,0.550512528617,河网密,年均降,暴雨天,0.08489887,0.03825365,0.028313851
42,0.578593664918,河网密,土壤渗,年均降,0.07463762,0.056152366,0.05435173
44,0.646843011222,河网密,土壤渗,村庄分,0.081992745,0.01110514,0.009692458
47,0.862915646931,河网密,暴雨天,年均降,0.30968,0.023587048,0.020333603
50,0.515574488758,河网密,土壤渗,年均降,0.082874596,0.016188683,0.013119795
56,0.496244800485,河网密,暴雨天,土壤渗,0.07734875,0.026377175,0.013942215
57,0.618184408373,暴雨天,河网密,年均降,0.06269392,0.021882294,0.020817902
61,0.598504484685,河网密,暴雨天,村庄分,0.07088207,0.017273784,0.010890392
63,0.698082331291,河网密,暴雨天,年均降,0.15885738,0.03598082,0.02448793
65,0.450094977686,河网密,年均降,土壤渗,0.092482306,0.060032334,0.01355153
66,0.485719407372,河网密,暴雨天,年均降,0.08647069,0.033870693,0.022841424
72,0.445221159823,河网密,暴雨天,村庄分,0.089763194,0.03411735,0.021253202
80,0.799212730128,河网密,年均降,暴雨天,0.17989759,0.04614387,0.021645328
84,0.525794578485,河网密,暴雨天,土壤渗,0.0850337,0.030505948,0.014001263
86,0.756157746492,河网密,暴雨天,年均降,0.16637503,0.03969057,0.01891863
90,0.511522998002,河网密,暴雨天,土壤渗,0.08482355,0.03354015,0.014349314
96,0.462727840425,河网密,坡度,耕地占,0.08330814,0.017050488,0.0042812047
98,0.786496514624,河网密,年均降,暴雨天,0.18449447,0.042551473,0.02017379
99,0.487616123493,河网密,村庄分,土壤渗,0.08770714,0.020059692,0.011847352
100,0.638067517768,河网密,村庄分,土壤渗,0.08461861,0.011925254,0.0110501135
103,0.494965780126,河网密,暴雨天,土壤渗,0.085298695,0.03187142,0.026697988
104,0.511660485228,河网密,暴雨天,土壤渗,0.079424836,0.026393272,0.026191538
109,0.442393604882,河网密,暴雨天,土壤渗,0.089083895,0.03171685,0.021159861
112,0.520505085218,暴雨天,耕地占,河网密,0.014043225,0.01221838,0.011409483
116,0.516173452139,河网密,暴雨天,耕地占,0.029245805,0.017354572,0.017104857
120,0.805439844604,河网密,年均降,土壤渗,0.17832796,0.043309107,0.02401762
121,0.564607201036,河网密,暴雨天,土壤渗,0.04902978,0.027917294,0.014815846
122,0.385929507165,河网密,暴雨天,年均降,0.09501802,0.034891624,0.0343342
125,0.582312600179,土壤渗,年均降,村庄分,0.02282953,0.00915404,0.0088802185
131,0.0,坡度,年均降,河网密,0.28051513,0.11160833,0.08388843
135,0.90268972787,河网密,土壤渗,年均降,0.30485293,0.029629406,0.025456015
136,0.796548345857,河网密,暴雨天,行洪能,0.20540804,0.043689925,0.015655493
137,0.586487674023,河网密,土壤渗,暴雨天,0.012450522,0.011253887,0.010522507
