grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
2,0.582949232464,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
4,0.44755933208,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
14,0.534739786928,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
18,0.56951926759,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
22,0.778324814867,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
25,0.572944237427,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
26,0.562550060677,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
27,0.531859991472,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
28,0.488431035343,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
30,0.355058569061,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
33,0.550873912464,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
39,0.476091964925,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
46,0.532424209039,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
49,0.354953058741,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
55,0.689115949899,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
62,0.482608908218,卫占比,GDP1占比,弱占比,799086743.2038267,462682828.481499,211693589.62690344
64,0.455663075132,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
67,0.606087869356,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
69,0.476834708009,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
70,0.592217802125,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
71,0.513712891124,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
78,0.503920546002,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
95,0.611374262936,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
97,0.561523377895,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
102,0.554735172879,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
105,0.748015318035,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
106,0.521806665935,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
110,0.474417011846,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
113,0.545095573279,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
115,0.502592284192,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
118,0.623707896262,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
119,0.495305107645,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
127,0.507070467738,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
129,0.516304241724,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
141,0.534491860957,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
148,0.76759825807,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
149,0.478642959035,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
150,0.398269006043,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
152,0.672184549087,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
153,0.416721393254,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
154,0.362513352073,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
156,0.449849003192,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
158,0.45579775823,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
164,0.489072601226,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
166,0.439496277531,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
173,0.542568492889,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
180,0.509409752266,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
184,0.373219703101,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
186,0.525895585452,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
187,0.427526614144,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
192,0.376512791746,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
193,0.587027665792,GDP1占比,卫占比,委占比,17911702.210627124,16585360.705033923,5720125.536550073
