grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
2,0.582949232464,年均降,土壤渗,dem,0.03620997912541224,0.031862980155640735,0.007969550952774938
4,0.44755933208,河网密,土壤渗,公安,0.05151815531289126,0.02128698799953159,0.006735505488451255
14,0.534739786928,河网密,土壤渗,行洪能,0.09528667054183132,0.030586192246877652,0.009461570557218362
18,0.56951926759,土壤渗,年均降,河网密,0.05394357906233805,0.03852422784954809,0.035015605425909334
22,0.778324814867,河网密,土壤渗,年均降,0.22998830289195502,0.03311358337728217,0.0178445326926972
25,0.572944237427,河网密,土壤渗,耕地占,0.10766034687349571,0.029386162952064945,0.008776246412760006
26,0.562550060677,河网密,土壤渗,dem,0.08128763452581349,0.03102025592486163,0.009888173209639606
27,0.531859991472,河网密,年均降,土壤渗,0.04164620944653512,0.036168842219307516,0.029222545329641594
28,0.488431035343,河网密,土壤渗,年均降,0.0436784847997616,0.03980668857273249,0.006502825742675399
30,0.355058569061,河网密,土壤渗,村庄分,0.10733558208425106,0.02652450026859576,0.006391500565629044
33,0.550873912464,土壤渗,河网密,年均降,0.04881165984652487,0.048070936406540386,0.039056288122758354
39,0.476091964925,河网密,土壤渗,公安,0.036493655793153106,0.03520777505265086,0.016157077130120566
46,0.532424209039,暴雨天,河网密,土壤渗,0.05329285881360667,0.04700168048231373,0.015595193980259969
49,0.354953058741,河网密,土壤渗,耕地占,0.1060961296943326,0.026704840091170086,0.009410597787448655
55,0.689115949899,河网密,年均降,行洪能,0.18948874543578442,0.014948080280445893,0.005517589736046088
62,0.482608908218,河网密,暴雨天,年均降,0.049529501306111307,0.036896293306927674,0.01988973221169259
64,0.455663075132,河网密,年均降,土壤渗,0.06899268792028729,0.037407715589958646,0.028789353192845576
67,0.606087869356,河网密,土壤渗,年均降,0.20384999325848494,0.030976915097407975,0.022746466024562415
69,0.476834708009,河网密,土壤渗,年均降,0.0347797624438785,0.029928609726894442,0.025353238283609913
70,0.592217802125,土壤渗,年均降,河网密,0.04811020630277798,0.034303113417455525,0.01424466390865918
71,0.513712891124,土壤渗,河网密,年均降,0.05721293590083036,0.03919028755500831,0.029516008708128715
78,0.503920546002,土壤渗,河网密,年均降,0.028910476835886288,0.026151165973315734,0.018180424303864514
95,0.611374262936,河网密,土壤渗,dem,0.09208138477560138,0.013927718519076416,0.012923350217694966
97,0.561523377895,河网密,土壤渗,年均降,0.05890048611668658,0.05828507156351051,0.04496518959072222
102,0.554735172879,土壤渗,河网密,年均降,0.045606604480871595,0.03275459087745403,0.023689664054293087
105,0.748015318035,河网密,年均降,行洪能,0.28707667172352436,0.02004729463960562,0.006354537342394027
106,0.521806665935,土壤渗,年均降,dem,0.0494881607112093,0.00955416093919201,0.00939511218566145
110,0.474417011846,土壤渗,河网密,耕地占,0.03439069104270406,0.026681898139844003,0.01730367461526303
113,0.545095573279,河网密,土壤渗,年均降,0.04690103618625402,0.036058974512219365,0.03329472059435449
115,0.502592284192,河网密,年均降,土壤渗,0.09371912245326376,0.041992532752839075,0.0367655083799632
118,0.623707896262,年均降,河网密,土壤渗,0.037859717929448616,0.036246364921248525,0.03307155561671132
119,0.495305107645,土壤渗,年均降,河网密,0.035548177679380254,0.024602950020712104,0.009217498903536648
127,0.507070467738,河网密,土壤渗,公安,0.03625478931963055,0.03193446697388618,0.007664117627178159
129,0.516304241724,年均降,河网密,土壤渗,0.020369415661040682,0.014600523100657896,0.011095996722656412
141,0.534491860957,河网密,年均降,土壤渗,0.03606174784125811,0.023681501296147923,0.011418794363399485
148,0.76759825807,河网密,土壤渗,年均降,0.1962138317242209,0.0391804536916316,0.017967657770102965
149,0.478642959035,土壤渗,河网密,年均降,0.03747545226163268,0.026671274531096564,0.010253592990826815
150,0.398269006043,河网密,土壤渗,暴雨天,0.0976755735571054,0.024687820982875166,0.021076861573493436
152,0.672184549087,河网密,土壤渗,年均降,0.13968804787860978,0.035493616238738354,0.012588493178466243
153,0.416721393254,土壤渗,年均降,河网密,0.03146426854301183,0.030330730802213227,0.0070619836236451424
154,0.362513352073,河网密,土壤渗,年均降,0.10701941823019721,0.025433382965343924,0.007069607079145986
156,0.449849003192,河网密,土壤渗,年均降,0.04806430310487203,0.027959991647693486,0.0249439549954182
158,0.45579775823,河网密,土壤渗,年均降,0.107375530728252,0.043984300785440515,0.02509948632558908
164,0.489072601226,河网密,土壤渗,年均降,0.044019307531288146,0.03469424880973107,0.01704008342190531
166,0.439496277531,河网密,年均降,土壤渗,0.09734228052143763,0.04135097504380563,0.02705785345657269
173,0.542568492889,土壤渗,年均降,耕地占,0.03690575374914095,0.022237588879225004,0.013101410530681866
180,0.509409752266,河网密,年均降,土壤渗,0.025098539358146436,0.024372822481735234,0.008237203273091286
184,0.373219703101,河网密,土壤渗,暴雨天,0.09968971988162754,0.025299333258667116,0.011681621676819985
