grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
2,0.582949232464,年均降,土壤渗,耕地占,0.048172876,0.029049408,0.010831526
4,0.44755933208,河网密,土壤渗,行洪能,0.051531047,0.020690555,0.009256404
14,0.534739786928,河网密,土壤渗,行洪能,0.11468118,0.026654268,0.024138445
18,0.56951926759,年均降,土壤渗,河网密,0.048446793,0.04698851,0.033686686
22,0.778324814867,河网密,年均降,土壤渗,0.24647851,0.039131228,0.029615412
25,0.572944237427,河网密,土壤渗,耕地占,0.116374955,0.026950419,0.02069003
26,0.562550060677,河网密,土壤渗,暴雨天,0.098384015,0.024899075,0.02188663
27,0.531859991472,河网密,年均降,土壤渗,0.04364488,0.042263817,0.028508503
28,0.488431035343,河网密,土壤渗,坡度,0.042824104,0.0316724,0.0062560923
30,0.355058569061,河网密,土壤渗,行洪能,0.11347282,0.022438727,0.0104401875
33,0.550873912464,河网密,年均降,土壤渗,0.053515222,0.050054282,0.043202054
39,0.476091964925,河网密,土壤渗,暴雨天,0.04643427,0.033242207,0.023160752
46,0.532424209039,暴雨天,河网密,年均降,0.06843283,0.051303223,0.029178226
49,0.354953058741,河网密,土壤渗,耕地占,0.11596556,0.021888318,0.017432734
55,0.689115949899,河网密,年均降,暴雨天,0.20346317,0.03219068,0.021324744
62,0.482608908218,暴雨天,河网密,年均降,0.052276753,0.04329206,0.036934413
64,0.455663075132,河网密,年均降,土壤渗,0.07029826,0.045309614,0.021158163
67,0.606087869356,河网密,年均降,土壤渗,0.20159766,0.05274,0.03106281
69,0.476834708009,河网密,年均降,土壤渗,0.035916816,0.032206595,0.02964909
70,0.592217802125,土壤渗,年均降,河网密,0.04459849,0.043918826,0.015102423
71,0.513712891124,土壤渗,年均降,河网密,0.060673974,0.046813145,0.040024813
78,0.503920546002,土壤渗,年均降,河网密,0.023714796,0.019053945,0.01890361
95,0.611374262936,河网密,年均降,dem,0.0992996,0.018964974,0.0147592025
97,0.561523377895,河网密,年均降,土壤渗,0.06492968,0.051142234,0.047155462
102,0.554735172879,土壤渗,河网密,年均降,0.040274758,0.03704738,0.034874722
105,0.748015318035,河网密,年均降,行洪能,0.29250556,0.04341289,0.016980557
106,0.521806665935,土壤渗,耕地占,年均降,0.03788779,0.02017576,0.01946317
110,0.474417011846,河网密,土壤渗,耕地占,0.037186276,0.031880263,0.029658174
113,0.545095573279,河网密,年均降,土壤渗,0.05078236,0.033898305,0.032759193
115,0.502592284192,河网密,年均降,土壤渗,0.10250251,0.058478985,0.034340315
118,0.623707896262,年均降,河网密,土壤渗,0.046540074,0.031319294,0.028641982
119,0.495305107645,土壤渗,年均降,行洪能,0.034468062,0.02630956,0.010804262
127,0.507070467738,河网密,土壤渗,行洪能,0.04207703,0.03116341,0.009494686
129,0.516304241724,年均降,河网密,dem,0.027579935,0.01606045,0.011953753
141,0.534491860957,河网密,年均降,耕地占,0.04637075,0.036427025,0.008717177
148,0.76759825807,河网密,年均降,土壤渗,0.20715834,0.03304253,0.031108899
149,0.478642959035,土壤渗,河网密,暴雨天,0.035872515,0.027844919,0.02345099
150,0.398269006043,河网密,暴雨天,年均降,0.107605614,0.032617137,0.026092723
152,0.672184549087,河网密,土壤渗,年均降,0.15020372,0.03266456,0.02639329
153,0.416721393254,年均降,土壤渗,行洪能,0.04427836,0.02698733,0.014147486
154,0.362513352073,河网密,土壤渗,村庄分,0.11721195,0.02186493,0.0077970033
156,0.449849003192,河网密,年均降,土壤渗,0.05316036,0.031146105,0.025686888
158,0.45579775823,河网密,土壤渗,年均降,0.118660636,0.04223934,0.031495485
164,0.489072601226,河网密,土壤渗,年均降,0.05214662,0.0322121,0.025469651
166,0.439496277531,河网密,年均降,土壤渗,0.09981724,0.050875593,0.024299003
173,0.542568492889,土壤渗,年均降,耕地占,0.041770704,0.031759337,0.018851241
180,0.509409752266,年均降,河网密,耕地占,0.03460535,0.031566143,0.0072637754
184,0.373219703101,河网密,暴雨天,土壤渗,0.113737695,0.024239335,0.022563048
186,0.525895585452,河网密,年均降,土壤渗,0.087871164,0.033265572,0.02633141
187,0.427526614144,河网密,年均降,土壤渗,0.11404733,0.03835738,0.03168448
192,0.376512791746,河网密,年均降,耕地占,0.10241727,0.05099659,0.024128484
193,0.587027665792,土壤渗,年均降,暴雨天,0.039075453,0.03793197,0.018489566
194,0.476540724436,河网密,土壤渗,年均降,0.05660584,0.033843823,0.026861155
199,0.573195295639,河网密,年均降,耕地占,0.12896445,0.03060114,0.015635647
202,0.489089666073,河网密,暴雨天,年均降,0.09571274,0.032326795,0.014962307
208,0.557057003858,河网密,土壤渗,行洪能,0.10669813,0.026778521,0.008716405
211,0.414686284528,河网密,土壤渗,耕地占,0.07438115,0.028348645,0.02066797
212,0.361269249404,河网密,年均降,土壤渗,0.037804216,0.025967866,0.020790465
213,0.389271181477,河网密,年均降,暴雨天,0.114307664,0.027582843,0.024630267
219,0.481330811731,年均降,土壤渗,行洪能,0.032332372,0.031960092,0.0099889655
220,0.607000368686,土壤渗,河网密,村庄分,0.041849628,0.040483214,0.023102505
229,0.566788545817,河网密,土壤渗,暴雨天,0.04970871,0.035374254,0.019794473
238,0.654760053828,河网密,年均降,行洪能,0.19187866,0.042025372,0.019628119
241,0.287429511178,河网密,年均降,土壤渗,0.115519606,0.046708856,0.022223916
253,0.401318605281,河网密,年均降,土壤渗,0.061971538,0.029238343,0.012687927
256,0.44797573487,年均降,土壤渗,暴雨天,0.036687467,0.027657213,0.023679033
263,0.487592634337,河网密,土壤渗,耕地占,0.0650567,0.038036857,0.036822338
274,0.562648252268,河网密,土壤渗,村庄分,0.08886782,0.024214262,0.018833743
280,0.490317873718,河网密,暴雨天,年均降,0.1021201,0.065362394,0.027071483
288,0.388796215461,河网密,年均降,暴雨天,0.05217263,0.030568346,0.026120394
304,0.638256941945,河网密,土壤渗,年均降,0.15440783,0.032508936,0.024449157
306,0.664984041994,暴雨天,河网密,年均降,0.09198842,0.0851325,0.03433509
316,0.315146652874,河网密,年均降,暴雨天,0.12017693,0.039313324,0.029121805
317,0.593001060742,河网密,土壤渗,耕地占,0.043499947,0.038249616,0.009451653
318,0.460372678258,河网密,年均降,土壤渗,0.101202145,0.054311473,0.014613299
322,0.411606261307,土壤渗,耕地占,暴雨天,0.030391458,0.017469821,0.015918657
332,0.374313945613,河网密,土壤渗,行洪能,0.11579097,0.020272447,0.009839104
336,0.315453902256,河网密,年均降,暴雨天,0.11676209,0.047774248,0.028082442
348,0.353312606654,河网密,年均降,暴雨天,0.12003146,0.027550425,0.023961766
349,0.576416166443,年均降,河网密,土壤渗,0.050203186,0.03645362,0.02732399
354,0.472870196932,河网密,暴雨天,年均降,0.096738085,0.0799205,0.023972813
356,0.396545559168,河网密,年均降,土壤渗,0.09895583,0.041244622,0.023801465
360,0.496916202721,年均降,土壤渗,暴雨天,0.0460406,0.030107452,0.021787057
373,0.545207040369,暴雨天,河网密,年均降,0.10251759,0.034202326,0.02891289
