grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
9,0.418477693796,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
10,0.0,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
19,0.733663162909,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
24,0.461902875792,卫占比,委占比,GDP1占比,1357199490.7799418,1252940156.5345037,173348427.22506937
31,0.645471398003,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
36,0.51828759022,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
38,0.68725753865,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
40,0.692001293513,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
48,0.778971739814,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
51,0.484431500277,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
53,0.438781930642,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
54,0.428906465119,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
93,0.452950903773,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
123,0.696627743973,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
132,0.714585284225,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
133,0.606104568016,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
142,0.468838057735,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
165,0.674141107184,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
168,0.498235914087,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
172,0.487958303168,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
174,0.546678464767,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
175,0.689078932459,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
178,0.576016819838,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
182,0.418668195605,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
189,0.0,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
195,0.570440396297,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
196,0.548064808708,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
205,0.720601290464,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
209,0.0,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
217,0.495423622614,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
221,0.468349236841,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
225,0.580465066531,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
226,0.642804195566,卫占比,委占比,GDP1占比,16239885.334782543,14992346.086035198,2074240.8173822023
