grid_id,risk_value,top_feat_1,top_feat_2,top_feat_3,top_contrib_1,top_contrib_2,top_contrib_3
9,0.418477693796,河网密,年均降,土壤渗,0.6063837346062876,0.5712859223232404,0.35968784861590875
10,0.0,坡度,年均降,河网密,4.446895962269267,0.6500389708602653,0.26352387427488333
19,0.733663162909,河网密,年均降,行洪能,0.6207950588769381,0.3641676328362377,0.23717037687674758
24,0.461902875792,年均降,河网密,行洪能,0.6920500703971273,0.6063837346062876,0.40304513548477544
31,0.645471398003,河网密,年均降,行洪能,0.305828448392816,0.22918346671305712,0.19653789837495564
36,0.51828759022,河网密,土壤渗,行洪能,0.4809843595843566,0.35968784861590875,0.29454084673430153
38,0.68725753865,河网密,行洪能,土壤渗,0.8274537004435949,0.46011218447933006,0.13276652342022477
40,0.692001293513,河网密,行洪能,土壤渗,0.7641724830883342,0.41672071576868214,0.13276652342022477
48,0.778971739814,年均降,河网密,暴雨天,0.6335057272700819,0.3553263626172299,0.19299784335131198
51,0.484431500277,河网密,土壤渗,行洪能,0.6063837346062876,0.35968784861590875,0.3535466375529483
53,0.438781930642,年均降,土壤渗,河网密,0.6513196776156309,0.35968784861590875,0.25202981726136914
54,0.428906465119,年均降,河网密,土壤渗,0.5563181574717707,0.541590695794382,0.35968784861590875
93,0.452950903773,年均降,河网密,土壤渗,0.6815835352125897,0.4356307131725685,0.35968784861590875
123,0.696627743973,河网密,行洪能,土壤渗,0.7288150905428284,0.43203796592995664,0.13276652342022477
132,0.714585284225,年均降,河网密,暴雨天,0.6530138639299162,0.21486536588824917,0.2147079644542033
133,0.606104568016,河网密,土壤渗,医院,0.15475906871931866,0.13276652342022477,0.12513327767913035
142,0.468838057735,年均降,河网密,行洪能,0.6172355133371592,0.6063837346062876,0.40304513548477544
165,0.674141107184,土壤渗,河网密,年均降,0.7893722353917634,0.1344006560405183,0.08638430063318811
168,0.498235914087,河网密,土壤渗,年均降,0.6063837346062876,0.13276652342022477,0.11083013447125067
172,0.487958303168,年均降,土壤渗,河网密,0.6362583583704294,0.35968784861590875,0.28965913954417416
174,0.546678464767,河网密,行洪能,土壤渗,0.6063837346062876,0.3033394977816406,0.13276652342022477
175,0.689078932459,年均降,河网密,土壤渗,0.4051213139495519,0.1824023567801195,0.13276652342022477
178,0.576016819838,河网密,行洪能,年均降,0.6063837346062876,0.40304513548477544,0.27498776026398747
182,0.418668195605,年均降,河网密,土壤渗,0.667262237347758,0.4784313308465615,0.35968784861590875
189,0.0,年均降,土壤渗,河网密,0.8160370953533835,0.35968784861590875,0.21233911607624908
195,0.570440396297,河网密,行洪能,年均降,0.6063837346062876,0.40304513548477544,0.20753882838665424
196,0.548064808708,河网密,行洪能,年均降,0.5658668540114682,0.2758655089165579,0.1374947613115023
205,0.720601290464,河网密,行洪能,土壤渗,0.7095225600486393,0.4485273694193967,0.2969178633556298
209,0.0,坡度,年均降,河网密,4.446895962269267,0.768215105921777,0.594152609606987
217,0.495423622614,土壤渗,河网密,行洪能,1.1804449885795933,0.6063837346062876,0.40304513548477544
221,0.468349236841,土壤渗,河网密,行洪能,2.1653536445921646,0.4103637360350629,0.1898426695390962
225,0.580465066531,河网密,行洪能,暴雨天,0.6063837346062876,0.40304513548477544,0.2147079644542033
226,0.642804195566,河网密,土壤渗,行洪能,0.31226006168407977,0.13276652342022477,0.09805593100033451
230,0.58445947357,河网密,行洪能,年均降,0.6063837346062876,0.40304513548477544,0.30358952737032585
251,0.649369766397,年均降,河网密,行洪能,0.630801737401047,0.3710526891134406,0.2516278917153977
252,0.512815208967,河网密,行洪能,土壤渗,0.47851139797626324,0.2645951740179559,0.13276652342022477
264,0.475785045362,年均降,土壤渗,河网密,0.6686060499968904,0.35968784861590875,0.13306691047040456
269,0.590910469944,年均降,河网密,土壤渗,0.27874976936324797,0.14433378061139615,0.13276652342022477
282,0.5561069457,暴雨天,年均降,河网密,0.3506098862148038,0.3452745505593482,0.33028915137283976
283,0.523819861333,年均降,土壤渗,行洪能,0.5969288130396754,0.35968784861590875,0.08475172602785194
290,0.55194120614,河网密,暴雨天,行洪能,0.6063837346062876,0.19299784335131198,0.16575669200390092
292,0.524810635354,土壤渗,河网密,行洪能,0.13276652342022477,0.1271235728329447,0.09865692913121536
312,0.65644544363,土壤渗,年均降,河网密,0.7893722353917634,0.12908495669686995,0.11836497611056401
319,0.728032928525,河网密,行洪能,暴雨天,0.5236406431991589,0.31395165633713173,0.19299784335131198
326,0.505466916344,河网密,行洪能,年均降,0.6063837346062876,0.40304513548477544,0.3606237892870997
328,0.539671960941,行洪能,河网密,年均降,0.5329351466013285,0.3769518881393287,0.2353203790409899
339,0.548866829104,河网密,行洪能,年均降,0.6063837346062876,0.396820636176993,0.23613579852764227
341,0.72768883912,土壤渗,河网密,行洪能,0.7893722353917634,0.6213144586243222,0.3338063655224329
342,0.587973680871,土壤渗,河网密,行洪能,1.1804449885795933,0.8170545784905463,0.44680791871085235
346,0.545136922237,土壤渗,年均降,暴雨天,0.13276652342022477,0.13267584091301063,0.07880604269360282
355,0.677683971145,河网密,行洪能,土壤渗,0.7997459073012911,0.43859576891961544,0.13276652342022477
361,0.536216401857,年均降,土壤渗,河网密,0.48274514339712044,0.35968784861590875,0.13311590795625702
371,0.576237738625,年均降,河网密,土壤渗,0.520178617679377,0.43541564134160315,0.35968784861590875
376,0.52493049192,河网密,行洪能,土壤渗,0.6063837346062876,0.2580188305675149,0.13276652342022477
382,0.59958898233,年均降,土壤渗,行洪能,0.43499966905782045,0.13276652342022477,0.10569451958511338
385,0.627072434534,河网密,行洪能,土壤渗,0.41770356408268866,0.2888886348628564,0.13276652342022477
392,0.709419328812,河网密,行洪能,土壤渗,0.6608915017521881,0.4337489248242393,0.13276652342022477
394,0.527183907373,年均降,土壤渗,村庄分,0.19766022817875545,0.13276652342022477,0.10057357408679381
410,0.619599284096,河网密,土壤渗,行洪能,0.3073466534374082,0.13276652342022477,0.12073162063694085
424,0.0,坡度,河网密,土壤渗,4.446895962269267,0.16709593921242902,0.13276652342022477
426,0.43026094974,年均降,土壤渗,河网密,0.6583111480403264,0.35968784861590875,0.34833383132042206
430,0.592086725491,年均降,河网密,行洪能,0.6268439653411872,0.6063837346062876,0.40304513548477544
438,0.619012877468,土壤渗,村庄分,河网密,0.35968784861590875,0.33767483532122367,0.2806324170029483
443,0.455898312005,河网密,年均降,行洪能,0.6063837346062876,0.5040025738291073,0.40304513548477544
464,0.58299084369,河网密,行洪能,年均降,0.5684120754828863,0.37827196791070944,0.29924613483505424
470,0.659215806304,年均降,河网密,行洪能,0.6680655515724717,0.28466542601473005,0.2516278917153977
493,0.552489743991,河网密,行洪能,年均降,0.5358909317600624,0.36986747854152013,0.3599914456290285
517,0.458688173104,河网密,年均降,行洪能,0.6063837346062876,0.41030624018843587,0.40304513548477544
527,0.658670176159,年均降,河网密,行洪能,0.6566080844651904,0.5954375766545313,0.39789315222399385
530,0.573251593211,土壤渗,年均降,村庄分,0.35968784861590875,0.20779731861841977,0.11855063061745837
548,0.693635367165,河网密,行洪能,年均降,0.6576801039159165,0.41232761757523384,0.1930926130406353
549,0.405718600208,河网密,年均降,土壤渗,0.6063837346062876,0.579257363675498,0.35968784861590875
553,0.542880091293,河网密,年均降,行洪能,0.40326918541183776,0.33023140120648,0.28201853546202055
560,0.508946903974,河网密,土壤渗,行洪能,0.5068952807464652,0.13276652342022477,0.09426850143691683
566,0.414424651861,年均降,河网密,土壤渗,0.6985564314081192,0.41296814642951074,0.35968784861590875
572,0.501787739721,河网密,行洪能,土壤渗,0.6063837346062876,0.3896529794473549,0.13276652342022477
577,0.48603785038,河网密,年均降,行洪能,0.6063837346062876,0.5141995426703408,0.40304513548477544
578,0.646005199468,河网密,行洪能,土壤渗,0.4047034544636757,0.26620799166971143,0.13276652342022477
581,0.655188361475,村庄分,土壤渗,行洪能,0.14289778704760994,0.13276652342022477,0.1168526210157881
582,0.528980804889,土壤渗,河网密,暴雨天,0.13276652342022477,0.09383178823598799,0.07880604269360282
585,0.650487501759,河网密,行洪能,土壤渗,0.5085042554363273,0.22179750533550113,0.13276652342022477
591,0.626649098376,河网密,行洪能,土壤渗,0.30497292940773685,0.13757867100249285,0.13276652342022477
595,0.477988253832,年均降,土壤渗,坡度,0.7425487446607969,0.35968784861590875,0.07838207838089259
601,0.506714850664,年均降,土壤渗,暴雨天,0.6851338821783709,0.35968784861590875,0.3288997651119126
602,0.61081411317,河网密,年均降,土壤渗,0.23736939919275166,0.23267317589562594,0.13276652342022477
606,0.606893954178,河网密,行洪能,土壤渗,0.33130265270019166,0.273577531295542,0.13276652342022477
